ts,market_id,now,market_end_ts,official_mid,official_source,official_age_ms,book_source,book_latency_ms,book_http_status,book_missing_reason,yes_bid,yes_ask,no_bid,no_ask,book_age_ms,mock_used,implied_yes,implied_no,fair_up_prob,edge_yes,edge_no,action,reason,params_hash
1768323280651,KXBTC-25DEC31,1768323280651,1768326839757,93620.005,coinbase,1112,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323281736,KXBTC-25DEC31,1768323281736,1768326839757,93616.005,coinbase,1169,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323282844,KXBTC-25DEC31,1768323282844,1768326839757,93616.005,coinbase,1547,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323283960,KXBTC-25DEC31,1768323283960,1768326839757,93622.005,coinbase,1173,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323285080,KXBTC-25DEC31,1768323285080,1768326839757,93622.005,coinbase,1176,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323286182,KXBTC-25DEC31,1768323286182,1768326839757,93638.035,coinbase,1592,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323287298,KXBTC-25DEC31,1768323287298,1768326839757,93636.025,coinbase,784,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323288417,KXBTC-25DEC31,1768323288417,1768326839757,93632.995,coinbase,285,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323289559,KXBTC-25DEC31,1768323289559,1768326839757,93638.035,coinbase,732,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323290696,KXBTC-25DEC31,1768323290696,1768326839757,93630.83499999999,coinbase,564,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323291798,KXBTC-25DEC31,1768323291798,1768326839757,93630.83499999999,coinbase,1268,kalshi,1,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323292898,KXBTC-25DEC31,1768323292898,1768326839757,93630.83499999999,coinbase,739,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323293999,KXBTC-25DEC31,1768323293999,1768326839757,93630.83499999999,coinbase,1840,kalshi,1,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323295138,KXBTC-25DEC31,1768323295138,1768326839757,93639.125,coinbase,1148,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323296242,KXBTC-25DEC31,1768323296242,1768326839757,93644.70000000001,coinbase,1233,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323297333,KXBTC-25DEC31,1768323297333,1768326839757,93644.015,coinbase,1922,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323298453,KXBTC-25DEC31,1768323298453,1768326839757,93644.005,coinbase,977,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323299554,KXBTC-25DEC31,1768323299554,1768326839757,93644.005,coinbase,2078,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323992113,KXBTC-25DEC31,1768323992113,1768327592113,93350.045,coinbase,1781,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323993505,KXBTC-25DEC31,1768323993505,1768327592113,93350.045,coinbase,623,kalshi,1,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323994628,KXBTC-25DEC31,1768323994628,1768327592113,93350.045,coinbase,638,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323995734,KXBTC-25DEC31,1768323995734,1768327592113,93350.045,coinbase,1279,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323996841,KXBTC-25DEC31,1768323996841,1768327592113,93350.045,coinbase,2386,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323997956,KXBTC-25DEC31,1768323997956,1768327592113,93350.045,coinbase,3501,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323999052,KXBTC-25DEC31,1768323999052,1768327592113,93350.045,coinbase,987,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768324000170,KXBTC-25DEC31,1768324000170,1768327592113,93340.445,coinbase,974,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768324001342,KXBTC-25DEC31,1768324001342,1768327592113,93338.015,coinbase,1256,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768324002501,KXBTC-25DEC31,1768324002501,1768327592113,93344.735,coinbase,922,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
